"R","P","Collection Time","Source Url","Url","Term","Course","Enrl","Median"
"","","1/12/2018 12:54:08 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","AAAS-88.02-01","30","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","AAAS-88.02-01","30","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","AMES-40.05-01","10","A-/B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","AMES-40.06-01","54","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ANTH-003-01","50","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ANTH-055-01","27","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ARAB-011-90","20","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ARAB-022-90","15","A"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ARAB-023-90","15","A"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ARTH-062-01","54","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ARTH-065-01","35","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ASTR-001-01","22","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ASTR-002-01","114","A"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ASTR-003-01","87","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","BIOL-013-01","67","B"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","BIOL-014-01","56","B"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","BIOL-022-01","14","B+/B"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","BIOL-045-01","13","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","CHEM-052-01","42","B"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","CHEM-063-01","14","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","CHIN-011-90","14","A /A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","CHIN-62.02-01","12","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","CLST-004-01","75","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","COLT-42.03-01","19","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","COLT-52.02-01","12","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","COSC-024-01","18","A-/B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","COSC-050-01","38","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","COSC-056-01","47","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","COSC-056-02","37","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","COSC-69.07-01","32","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","EARS-005-01","80","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","EARS-040-01","29","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-020-01","66","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-020-02","66","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-021-01","19","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-021-02","19","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-022-01","22","B /B-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-022-02","22","B /B-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-026-01","63","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-026-02","63","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ECON-077-01","20","A-"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","EDUC-060-01","35","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ENGL-015-01","31","B+"
"","","1/12/2018 12:54:12 AM","http://www.dartmouth.edu/~reg/transcript/medians/15x.html","","15X","ENGL-036-01","23","A-"
